2025-12-31 15:45:08.715 +08:00 [INF] Loaded ABP modules:
2025-12-31 15:45:08.781 +08:00 [INF] - WeiDin.API.WeiDinApiModule
2025-12-31 15:45:08.783 +08:00 [INF]   - Volo.Abp.Autofac.AbpAutofacModule
2025-12-31 15:45:08.784 +08:00 [INF]     - Volo.Abp.Castle.AbpCastleCoreModule
2025-12-31 15:45:08.785 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcModule
2025-12-31 15:45:08.786 +08:00 [INF]     - Volo.Abp.AspNetCore.AbpAspNetCoreModule
2025-12-31 15:45:08.787 +08:00 [INF]       - Volo.Abp.Auditing.AbpAuditingModule
2025-12-31 15:45:08.788 +08:00 [INF]         - Volo.Abp.Data.AbpDataModule
2025-12-31 15:45:08.789 +08:00 [INF]           - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2025-12-31 15:45:08.790 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2025-12-31 15:45:08.791 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2025-12-31 15:45:08.793 +08:00 [INF]           - Volo.Abp.Uow.AbpUnitOfWorkModule
2025-12-31 15:45:08.794 +08:00 [INF]           - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2025-12-31 15:45:08.795 +08:00 [INF]         - Volo.Abp.Json.AbpJsonModule
2025-12-31 15:45:08.796 +08:00 [INF]           - Volo.Abp.Json.SystemTextJson.AbpJsonSystemTextJsonModule
2025-12-31 15:45:08.797 +08:00 [INF]             - Volo.Abp.Json.AbpJsonAbstractionsModule
2025-12-31 15:45:08.799 +08:00 [INF]             - Volo.Abp.Timing.AbpTimingModule
2025-12-31 15:45:08.800 +08:00 [INF]               - Volo.Abp.Localization.AbpLocalizationModule
2025-12-31 15:45:08.801 +08:00 [INF]                 - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2025-12-31 15:45:08.802 +08:00 [INF]                 - Volo.Abp.Settings.AbpSettingsModule
2025-12-31 15:45:08.803 +08:00 [INF]                   - Volo.Abp.Security.AbpSecurityModule
2025-12-31 15:45:08.804 +08:00 [INF]                 - Volo.Abp.Threading.AbpThreadingModule
2025-12-31 15:45:08.806 +08:00 [INF]         - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2025-12-31 15:45:08.807 +08:00 [INF]           - Volo.Abp.MultiTenancy.AbpMultiTenancyAbstractionsModule
2025-12-31 15:45:08.808 +08:00 [INF]         - Volo.Abp.Auditing.AbpAuditingContractsModule
2025-12-31 15:45:08.809 +08:00 [INF]       - Volo.Abp.Http.AbpHttpModule
2025-12-31 15:45:08.810 +08:00 [INF]         - Volo.Abp.Http.AbpHttpAbstractionsModule
2025-12-31 15:45:08.811 +08:00 [INF]         - Volo.Abp.Minify.AbpMinifyModule
2025-12-31 15:45:08.812 +08:00 [INF]       - Volo.Abp.Authorization.AbpAuthorizationModule
2025-12-31 15:45:08.813 +08:00 [INF]         - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2025-12-31 15:45:08.814 +08:00 [INF]       - Volo.Abp.Validation.AbpValidationModule
2025-12-31 15:45:08.814 +08:00 [INF]       - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
